fire.id	year	sever	area	fst	wind
131	1	0	212	2	180
141	1	0	123	1	0
143	1	0	325	1	0
672	1	0	306	3	180
828	1	0	159	2	180
148	3	1	144	2	180
149	3	1	1526	1	270
151	3	1	259	2	180
154	3	1	645	3	180
155	3	1	549	2	180
157	3	1	273	2	180
159	3	1	183	1	315
162	3	1	210	1	315
2014	3	1	385	1	225
163	4	0	90	1	315
165	4	0	834	1	315
169	5	0	470	2	180
170	5	0	888	3	180
172	5	0	1168	1	270
174	5	0	490	1	0
175	5	0	732	1	315
176	5	0	2025	3	180
1121	5	0	1274	1	315
2017	5	0	106	2	180
2018	5	0	141	3	180
47	6	1	135	1	270
48	6	1	4508	1	270
179	6	1	148	2	180
181	6	1	2398	1	315
184	6	1	271	2	180
186	6	1	84	1	270
188	6	1	85	2	180
189	6	1	304	1	315
190	6	1	193	2	180
191	6	1	386	2	180
194	6	1	160	1	180
195	6	1	417	3	180
198	6	1	1191	3	180
199	6	1	345	3	180
201	6	1	1447	3	180
202	6	1	187	2	180
203	6	1	153	2	180
205	6	1	82	1	0
206	6	1	232	1	225
208	6	1	111	3	180
209	6	1	465	3	180
210	6	1	394	3	180
211	6	1	358	3	180
213	6	1	472	3	180
214	6	1	2741	3	180
215	6	1	16264	3	180
216	6	1	108	3	180
218	6	1	132	3	180
220	6	1	234	2	180
221	6	1	23510	3	180
226	6	1	117	1	315
227	6	1	178	3	180
229	6	1	135	1	315
475	6	1	542	2	180
476	6	1	2592	3	180
634	6	1	1816	3	180
637	6	1	3230	3	180
1232	6	1	3311	3	180
1248	6	1	146	2	180
1253	6	1	48	1	270
1503	6	1	6005	3	180
2023	6	1	5813	1	270
230	7	1	4858	1	315
234	7	1	158	1	90
235	7	1	115	1	315
236	7	1	252	2	180
237	7	1	836	1	90
243	8	0	61	1	315
633	8	0	380	2	180
247	9	0	135	2	180
249	9	0	78	2	180
256	10	1	177	3	180
259	10	1	24176	3	180
261	10	1	407	1	315
263	10	1	515	1	315
264	10	1	158	3	180
266	10	1	592	2	180
279	11	0	165	1	225
2038	11	0	71	1	315
2045	11	0	267	1	315
104	12	0	276	2	180
2106	12	0	638	1	270
2109	12	0	183	1	45
2283	12	0	5836	1	315
2284	12	0	88	3	180
2285	12	0	289	3	180
26	13	0	218	2	180
52	13	0	115	3	180
689	13	0	342	2	180
2118	13	0	1692	1	0
4	14	0	133	2	180
2128	14	0	298	2	180
2134	14	0	477	2	180
2135	14	0	59	2	180
2139	15	1	86	1	315
2144	15	1	59	3	180
2145	15	1	408	1	0
2146	15	1	350	3	180
2147	15	1	73	3	180
2149	15	1	347	3	180
2152	15	1	1006	3	180
2153	15	1	162	3	180
2154	15	1	4290	3	180
2155	15	1	379	2	180
2162	15	1	128	3	180
2163	15	1	238	3	180
2168	15	1	1733	3	180
2175	16	0	607	1	315
2178	16	0	73	1	180
217	17	1	90	1	225
2187	17	1	1136	3	180
2188	17	1	827	3	180
2189	17	1	70	3	180
2191	17	1	735	3	180
2196	17	1	207	2	180
2201	17	1	434	3	180
2202	17	1	153	3	180
2205	17	1	585	1	270
2208	17	1	119	1	180
2212	17	1	105	1	315
2214	18	1	291	1	315
2215	18	1	425	1	315
2217	18	1	204	1	315
2220	18	1	961	1	0
2226	18	1	64	3	180
2229	18	1	122	2	180
2232	18	1	53	1	270
2235	18	1	1176	1	315
2236	19	1	84	1	135
2240	19	1	228	3	180
2241	19	1	135	3	180
2246	19	1	106	1	270
2247	19	1	438	2	180
2248	19	1	378	1	315
690	21	1	108	2	180
691	21	1	167	2	180
2259	21	1	82	1	180
2263	21	1	5004	1	270
2267	21	1	230	1	135
2269	21	1	91	1	270
2272	21	1	104	1	315
2273	21	1	94	2	180
2275	21	1	934	1	180
2277	22	0	127	2	180
2281	22	0	111	2	180
2286	22	0	67	2	180
2060	23	0	92	1	270
2287	23	0	90	2	180
2291	23	0	357	1	315
2296	24	1	99	1	45
2300	24	1	192	1	315
2301	24	1	180	1	0
2302	24	1	10619	1	0
2303	24	1	375	1	0
2310	24	1	335	1	45
2319	24	1	596	3	180
2320	24	1	68	1	225
2323	24	1	2803	1	0
