fire.id	year	sever	area	fst	wind
131	1	0	212	2	180
828	1	0	159	2	180
148	3	1	144	2	180
151	3	1	259	2	180
155	3	1	549	2	180
157	3	1	273	2	180
169	5	0	470	2	180
2017	5	0	106	2	180
179	6	1	148	2	180
184	6	1	271	2	180
188	6	1	85	2	180
190	6	1	193	2	180
191	6	1	386	2	180
202	6	1	187	2	180
203	6	1	153	2	180
220	6	1	234	2	180
475	6	1	542	2	180
1248	6	1	146	2	180
236	7	1	252	2	180
633	8	0	380	2	180
247	9	0	135	2	180
249	9	0	78	2	180
266	10	1	592	2	180
104	12	0	276	2	180
26	13	0	218	2	180
689	13	0	342	2	180
4	14	0	133	2	180
2128	14	0	298	2	180
2134	14	0	477	2	180
2135	14	0	59	2	180
2155	15	1	379	2	180
2196	17	1	207	2	180
2229	18	1	122	2	180
2247	19	1	438	2	180
690	21	1	108	2	180
691	21	1	167	2	180
2273	21	1	94	2	180
2277	22	0	127	2	180
2281	22	0	111	2	180
2286	22	0	67	2	180
2287	23	0	90	2	180
