fire.id	year	sever	area	fst	wind
141	1	0	123	1	180
143	1	0	325	1	180
149	3	1	1526	1	90
159	3	1	183	1	135
162	3	1	210	1	135
2014	3	1	385	1	45
163	4	0	90	1	135
165	4	0	834	1	135
172	5	0	1168	1	90
174	5	0	490	1	180
175	5	0	732	1	135
1121	5	0	1274	1	135
47	6	1	135	1	90
48	6	1	4508	1	90
181	6	1	2398	1	135
186	6	1	84	1	90
189	6	1	304	1	135
194	6	1	160	1	360
205	6	1	82	1	180
206	6	1	232	1	45
226	6	1	117	1	135
229	6	1	135	1	135
1253	6	1	48	1	90
2023	6	1	5813	1	90
230	7	1	4858	1	135
234	7	1	158	1	270
235	7	1	115	1	135
237	7	1	836	1	270
243	8	0	61	1	135
261	10	1	407	1	135
263	10	1	515	1	135
279	11	0	165	1	45
2038	11	0	71	1	135
2045	11	0	267	1	135
2106	12	0	638	1	90
2109	12	0	183	1	225
2283	12	0	5836	1	135
2118	13	0	1692	1	180
2139	15	1	86	1	135
2145	15	1	408	1	180
2175	16	0	607	1	135
2178	16	0	73	1	360
217	17	1	90	1	45
2205	17	1	585	1	90
2208	17	1	119	1	360
2212	17	1	105	1	135
2214	18	1	291	1	135
2215	18	1	425	1	135
2217	18	1	204	1	135
2220	18	1	961	1	180
2232	18	1	53	1	90
2235	18	1	1176	1	135
2236	19	1	84	1	315
2246	19	1	106	1	90
2248	19	1	378	1	135
2259	21	1	82	1	360
2263	21	1	5004	1	90
2267	21	1	230	1	315
2269	21	1	91	1	90
2272	21	1	104	1	135
2275	21	1	934	1	360
2060	23	0	92	1	90
2291	23	0	357	1	135
2296	24	1	99	1	225
2300	24	1	192	1	135
2301	24	1	180	1	180
2302	24	1	10619	1	180
2303	24	1	375	1	180
2310	24	1	335	1	225
2320	24	1	68	1	45
2323	24	1	2803	1	180
