scn	wind	slope	flam	aspc
1	1	0	0	0
2	0.9	0.1	0	0
3	0.9	0	0.1	0
4	0.9	0	0	0.1
5	0.8	0.2	0	0
6	0.8	0	0.2	0
7	0.8	0	0	0.2
8	0.8	0.1	0.1	0
9	0.8	0.1	0	0.1
10	0.8	0	0.1	0.1
11	0.7	0.3	0	0
12	0.7	0	0.3	0
13	0.7	0	0	0.3
14	0.7	0.2	0.1	0
15	0.7	0.2	0	0.1
16	0.7	0.1	0.2	0
17	0.7	0.1	0	0.2
18	0.7	0	0.2	0.1
19	0.7	0	0.1	0.2
20	0.7	0.1	0.1	0.1
21	0.6	0.4	0	0
22	0.6	0	0.4	0
23	0.6	0	0	0.4
24	0.6	0.3	0.1	0
25	0.6	0.3	0	0.1
26	0.6	0.1	0.3	0
27	0.6	0.1	0	0.3
28	0.6	0	0.3	0.1
29	0.6	0	0.1	0.3
30	0.6	0.2	0.2	0
31	0.6	0.2	0	0.2
32	0.6	0	0.2	0.2
33	0.6	0.2	0.1	0.1
34	0.6	0.1	0.2	0.1
35	0.6	0.1	0.1	0.2
36	0.5	0.5	0	0
37	0.5	0	0.5	0
38	0.5	0	0	0.5
39	0.5	0.4	0.1	0
40	0.5	0.4	0	0.1
41	0.5	0.1	0.4	0
42	0.5	0.1	0	0.4
43	0.5	0	0.4	0.1
44	0.5	0	0.1	0.4
45	0.5	0.3	0.2	0
46	0.5	0.3	0	0.2
47	0.5	0.2	0.3	0
48	0.5	0.2	0	0.3
49	0.5	0	0.3	0.2
50	0.5	0	0.2	0.3
51	0.5	0.3	0.1	0.1
52	0.5	0.1	0.3	0.1
53	0.5	0.1	0.1	0.3
54	0.5	0.1	0.2	0.2
55	0.5	0.2	0.1	0.2
56	0.5	0.2	0.2	0.1
57	0.4	0.6	0	0
58	0.4	0	0.6	0
59	0.4	0	0	0.6
60	0.4	0.5	0.1	0
61	0.4	0.5	0	0.1
62	0.4	0.1	0.5	0
63	0.4	0.1	0	0.5
64	0.4	0	0.5	0.1
65	0.4	0	0.1	0.5
66	0.4	0.4	0.2	0
67	0.4	0.4	0	0.2
68	0.4	0.2	0.4	0
69	0.4	0.2	0	0.4
70	0.4	0	0.4	0.2
71	0.4	0	0.2	0.4
72	0.4	0.3	0.3	0
73	0.4	0.3	0	0.3
74	0.4	0	0.3	0.3
75	0.4	0.4	0.1	0.1
76	0.4	0.1	0.4	0.1
77	0.4	0.1	0.1	0.4
78	0.4	0.3	0.2	0.1
79	0.4	0.3	0.1	0.2
80	0.4	0.2	0.3	0.1
81	0.4	0.2	0.1	0.3
82	0.4	0.1	0.3	0.2
83	0.4	0.1	0.2	0.3
84	0.4	0.2	0.2	0.2
85	0.3	0.7	0	0
86	0.3	0	0.7	0
87	0.3	0	0	0.7
88	0.3	0.6	0.1	0
89	0.3	0.6	0	0.1
90	0.3	0.1	0.6	0
91	0.3	0.1	0	0.6
92	0.3	0	0.6	0.1
93	0.3	0	0.1	0.6
94	0.3	0.5	0.2	0
95	0.3	0.5	0	0.2
96	0.3	0.2	0.5	0
97	0.3	0.2	0	0.5
98	0.3	0	0.5	0.2
99	0.3	0	0.2	0.5
100	0.3	0.4	0.3	0
101	0.3	0.4	0	0.3
102	0.3	0.3	0.4	0
103	0.3	0.3	0	0.4
104	0.3	0	0.4	0.3
105	0.3	0	0.3	0.4
106	0.3	0.5	0.1	0.1
107	0.3	0.1	0.5	0.1
108	0.3	0.1	0.1	0.5
109	0.3	0.4	0.2	0.1
110	0.3	0.4	0.1	0.2
111	0.3	0.2	0.4	0.1
112	0.3	0.2	0.1	0.4
113	0.3	0.1	0.4	0.2
114	0.3	0.1	0.2	0.4
